UltimateParentAccountID,ARR,UserCount_All,SessionCount_Amp,ResponseCount,ActionCount_ProjectsCreated,MUserCount_ProjectsCreated,Pageland_Count,AMRActions_UniqueUsers,TextIqConsumption_Events,TextIqConsumption_Uniques
00150000010LEDdAAO,1,8196,80662,1231057,369,181,639213,373,29,1045
00150000010MdmpAAC,1,747,6878,120485,208,100,30621,183,7,41
0015000000MWHwlAAH,1,1179,53714,1101687,238,87,280239,276,5,25
00150000010MiYZAA0,1,21642,127776,74992,98,58,290723,312,35,3228
0015000000edobdAAA,1,26267,285026,64534353,374,75,442533,137,18,789
0012J00002LbQZmQAN,1,669,8093,203953,93,45,30139,117,20,1348
0015000000wyTDmAAM,1,5156,58087,883523,1104,558,230767,790,5,109
0012J00002RzS6eQAF,1,16253,158325,246736,638,215,474902,466,109,6566
0015000000jZPcuAAG,1,4271,72418,334402,639,261,212887,503,34,4134
00150000010MKyoAAG,1,17874,148135,2155635,1920,899,577374,1596,55,2352
0015000000Uxp1MAAR,1,5062,42406,953618,558,302,241240,858,104,65322
0015000000nDRXVAA4,1,3845,60531,354193,342,121,214832,418,100,19604
0015000000b7InsAAE,1,15183,126615,291808,1142,537,359315,795,48,2255
0015000000QCql1AAD,1,37552,428650,2290774,10254,5941,1590099,8359,57,1657
0015000000iUJooAAG,0,2044,61275,4650709,679,241,297685,589,0,0
0012J00002QkAOzQAN,0,1062,14666,418556,331,132,89451,191,5,422
0015000000nDR77AAG,0,2387,21803,46587,422,178,102290,313,3,82
0015000000wNREcAAO,0,8253,66005,50551,110,80,229639,271,34,1823
0015000000SwIKBAA3,0,793,15115,2015716,149,104,46298,180,1,1
0015000000QdsgIAAR,0,44435,217176,224193,327,104,347376,172,58,6806
0015000001W1MYOAA3,0,783,9908,130850,348,159,56925,248,5,23
0015000000ZhdyvAAB,0,939,41041,506495,252,98,98195,220,15,329
0015000000mP8IIAA0,0,262,2463,11101,53,30,7709,49,0,0
0015000000wNTGeAAO,0,7641,68675,586947,570,273,245780,538,13,261
0015000000qFxx8AAC,0,1665,15978,94221,405,159,86794,191,6,117
0015000000etbx3AAA,0,908,17358,359703,160,82,70593,134,28,4809
0015000000r77SlAAI,0,2537,22850,389430,495,257,112952,385,25,617
00150000010MlCgAAK,0,5930,39601,142868,272,123,124300,216,19,564
0015000000d3icQAAQ,0,6875,28190,570428,271,108,109558,254,10,340
0015000000mQC3RAAW,0,1633,76094,667867,46,25,133441,50,11,176
0015000000UA6GYAA1,0,8913,351605,2412982,11723,3476,1260291,3469,34,220
0015000000acbHmAAI,0,14434,51251,208515,78,34,103366,77,0,0
00150000018tnVyAAI,0,1291,47764,204360,69,31,106804,130,34,2132
0015000000r9o4yAAA,0,13901,55567,253252,340,166,133429,333,21,582
0015000000lbdsMAAQ,0,3355,61955,150129,187,126,162636,229,8,441
0015000000hVlV5AAK,0,4549,73613,706871,1034,466,362174,945,14,723
0015000000pkEoCAAU,0,3213,41146,87424,654,194,191236,638,5,7
0015000000evOqgAAE,0,3635,29750,96563,632,241,107730,414,26,1235
0015000000fqVH3AAM,0,4799,43673,776983,237,113,87873,116,1,1
0015000000nDTybAAG,0,1254,14976,4295101,321,172,69175,213,7,391
0015000000lbVqhAAE,0,1927,21137,66562,527,261,77842,346,22,1511
0012J00002PLvSJQA1,0,702,6135,45883,6,3,17845,44,24,1349
0015000000b7qW0AAI,0,9545,302639,1545300,419,171,1329780,266,15,89
0015000000etRrhAAE,0,2588,50126,361092,1105,324,198782,565,5,395
0015000000cIayYAAS,0,927,10354,528944,123,60,42126,176,20,521
0015000000nDTNuAAO,0,434,6806,427946,76,46,24972,98,41,10327
0015000000huCLdAAM,0,19538,182143,119622,495,327,455398,358,66,9264
0015000000ZgIjxAAF,0,4367,28719,47557,145,90,104454,394,0,0
0015000000mOB7PAAW,0,4290,72729,2855427,87,42,127203,108,18,4953
00150000010MLtvAAG,0,42956,529161,3863999,14809,9702,1719939,10442,50,1366
0015000000b7eaIAAQ,0,4776,34685,262685,1017,230,181806,437,39,3249
00150000010MWpVAAW,0,316,2955,580909,62,19,16841,83,14,382
0015000001BimVgAAJ,0,95966,994269,4807883,25124,16150,3680456,22206,118,4181
0015000000YYJtYAAX,0,2596,28027,96842,243,129,102173,264,12,410
0012J00002OVacvQAD,0,148,1480,3039,6,1,13389,19,5,45
0015000000QvP95AAF,0,1665,45128,474120,394,182,121739,304,15,377
0012J00002NGVxfQAH,0,872,11343,169405,147,93,46646,187,4,9
0015000000b4bfjAAA,0,3673,39729,332488,1188,663,155457,805,16,942
0015000000tGJlOAAW,0,1015,17360,280200,385,140,61634,217,18,491
0015000000nDWfgAAG,0,4268,38981,161034,333,145,111702,181,0,0
0015000000Uw68QAAR,0,1174,12709,41380,141,58,43065,158,29,1272
0015000000pkEnEAAU,0,2568,16943,49165,296,129,95913,364,11,167
0015000000ZC55IAAT,0,7242,135218,690459,1646,542,544365,769,68,16428
0015000000b4ljKAAQ,0,821,28190,772963,290,96,84201,155,33,5123
0012J00002QkEASQA3,0,1886,23136,98356,114,50,72590,96,60,19629
0015000000qG1KuAAK,0,30179,126998,180470,107,55,215185,54,0,0
0015000000b5eLbAAI,0,329,8053,508825,165,53,35134,104,1,1
0015000000UvPPfAAN,0,3632,40406,1239842,591,264,182248,334,42,7128
00150000017g2DLAAY,0,4751,93616,73992,62,37,230275,69,1,9
0012J00002QkhKSQAZ,0,4949,112130,241833,313,102,373697,184,3,7
00150000010MpNNAA0,0,1520,11899,24844,197,91,48117,118,22,1492
0015000000cIxgUAAS,0,876,8410,811780,88,57,40682,159,0,0
0015000000kjLqLAAU,0,15186,151615,296981,477,132,434791,537,41,1486
00150000010MHnaAAG,0,403,9675,323731,254,77,74875,122,4,36
0015000000et5PXAAY,0,3263,24031,134852,215,113,80948,340,8,404
00150000010MLpHAAW,0,687,14211,95782,45,29,75691,104,34,8715
00150000010MQAPAA4,0,3004,27976,221606,445,166,146662,266,44,3649
0015000000wLFeWAAW,0,693,4878,2627,24,14,29277,58,8,309
0015000001J5XFbAAN,0,15772,147750,1158565,341,265,372260,98,18,1587
0015000001AgTrIAAV,0,793,12908,1107836,193,89,64480,203,3,24
00150000010MfLSAA0,0,2045,28630,51770,584,233,525113,436,32,1609
00150000010ML6RAAW,0,1467,10985,59252,126,55,39126,96,6,59
0015000000b5PbHAAU,0,1213,19807,114845,189,52,76039,100,15,5941
0015000000tGGHSAA4,0,776,6011,136015,188,70,35828,151,3,24
0015000000cLvBeAAK,0,1282,28736,324161,264,153,128141,292,6,16
00150000010Mc1vAAC,0,3052,83517,246571,1459,620,322388,889,65,6513
0015000000nDQY6AAO,0,676,10834,487910,24,16,36690,48,0,0
001500000132mCWAAY,0,1088,22831,865458,286,112,106899,278,19,507
0015000000bov2oAAA,0,1710,26251,64501,357,127,127200,242,45,2857
0015000000wNkd0AAC,0,5437,71068,240301,685,289,246352,744,111,21470
0015000000aeKVtAAM,0,1817,31664,44382,283,101,119068,185,41,5668
0015000000qdN6FAAU,0,1537,25291,190104,468,130,136756,424,13,540
00150000010MloUAAS,0,2800,85051,90050,180,56,269053,181,13,299
0015000000b7YIgAAM,0,12974,87782,89157,332,150,146043,174,29,2412
